,user,text,polarity
464,LisanDonnie, Imagine the biggest criminal of all saying crime will go down in suburbs if there is no low income… https://t.co/UKn13OW4T0,"Sentiment(polarity=-0.1851851851851852, subjectivity=0.3796296296296297)"
465,missionmidnight, #FlushTheTurdNov3rd #ByeDon2020,"Sentiment(polarity=0.0, subjectivity=0.0)"
466,MatthewDicks," You’re a disgusting, racist, incompetent human being who somehow managed to find new lows every da… https://t.co/GZrFuSjkdC","Sentiment(polarity=-0.30340909090909096, subjectivity=0.48030303030303034)"
467,SDargitz," Hey, remember when Russia paid bounties on American soldiers and you refused to do anything about… https://t.co/4WSEgjaVwB","Sentiment(polarity=0.0, subjectivity=0.0)"
468,DrAstroZoom, #racistPOTUS,"Sentiment(polarity=0.0, subjectivity=0.0)"
469,bluedaydawning, Racist much?,"Sentiment(polarity=0.2, subjectivity=0.2)"
470,BrianDHalligan," How are you still here, the syphilis is clearly eating your brain.","Sentiment(polarity=0.09999999999999999, subjectivity=0.3833333333333333)"
471,AmercnApplePie, YOU ARE A RACIST. THIS IS DISGUSTING.,"Sentiment(polarity=-1.0, subjectivity=1.0)"
472,tx_outsider," Wow, you're just putting your racism into policy.","Sentiment(polarity=0.1, subjectivity=1.0)"
473,got_rued, The bigotry of low expectations is strong in the comments. Lefties have no idea how racist they re… https://t.co/9WILgrLEZ9,"Sentiment(polarity=0.21666666666666667, subjectivity=0.5166666666666667)"
474,Katydid303, FUCK YOU and ALL YOUR REPUBLICAN SYCOPHANTS ??,"Sentiment(polarity=-0.4, subjectivity=0.6)"
475,Liberalyogi, I'm a suburban Mom and I'll be voting for @JoeBiden #RacistInChief,"Sentiment(polarity=0.0, subjectivity=0.0)"
476,DogMama04, #RacistInChief #AmericaOrTrump,"Sentiment(polarity=0.0, subjectivity=0.0)"
477,kay_vandenberg, GO AWAY! NOBODY LIKES YOU AND YOU RUIN EVERYTHING!,"Sentiment(polarity=0.0, subjectivity=0.0)"
478,Frankvdb711, So you’re just catering to the upper middle class and the rich?? I thought a president  cared for… https://t.co/FcwpgKQzST,"Sentiment(polarity=0.125, subjectivity=0.25)"
479,g_j_clark," This can’t be real, can it?","Sentiment(polarity=0.2, subjectivity=0.30000000000000004)"
480,TimCondit, Doctors prescribe LiveAndLetLivia (tm) for chronic racism not controlled with other treatments. Gi… https://t.co/EDf7LoHeXB,"Sentiment(polarity=-0.125, subjectivity=0.375)"
481,SuperDuperSJW," Very fine people on both sides, but the poor ones shouldn't bother you. https://t.co/cIGigIg0Nq","Sentiment(polarity=0.07083333333333336, subjectivity=0.625)"
482,mamaoclo," Blablabla, no plan, no solutions, nothing.. Btw: what about your health? Everything ok? What about… https://t.co/VPy5mLeJo3","Sentiment(polarity=0.5, subjectivity=0.5)"
483,FrannyWild, I might remind DJT that my dad bought our house on the GI Bill for $100 down in 1954. Was that low… https://t.co/A1EKba9bL2,"Sentiment(polarity=-0.15555555555555556, subjectivity=0.2888888888888889)"
484,JRLAW21, Only racist people when they hear low income immediately equate black and brown people!,"Sentiment(polarity=-0.06944444444444443, subjectivity=0.5777777777777778)"
485,therealjarenz, ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????… https://t.co/hL6WFr6Tpi,"Sentiment(polarity=0.0, subjectivity=0.0)"
486,atliberalandold, Why do you hate poor people? You have no soul.,"Sentiment(polarity=-0.6000000000000001, subjectivity=0.75)"
487,trace0304, Nobody Likes You,"Sentiment(polarity=0.0, subjectivity=0.0)"
488,1969jdr, Idiot. Nothing to be proud of ????,"Sentiment(polarity=0.0, subjectivity=0.9)"
489,BarrisLaurs, Please be quiet,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)"
490,shaun102715, There really couldn’t be a more unambiguous way he could say that he despises poor people,"Sentiment(polarity=0.09999999999999998, subjectivity=0.4333333333333333)"
491,eazyearl84, What about gentrification of lower income neighborhoods? This actually pushes In a lot lower incom… https://t.co/Sa4WR3IkJB,"Sentiment(polarity=0.0, subjectivity=0.1)"
492,mjamesb320, Wow you’re gross.,"Sentiment(polarity=0.05, subjectivity=0.5)"
493,kornheiserfan, This isn’t even subtle,"Sentiment(polarity=-0.3333333333333333, subjectivity=0.5)"
494,Andysmoans, Complete loon ball... https://t.co/LUiExXsfKm,"Sentiment(polarity=0.1, subjectivity=0.4)"
495,Mom2Angelz723, Your racism is showing......,"Sentiment(polarity=0.0, subjectivity=0.0)"
496,detroit_rachel, https://t.co/zfJ2DRWkte,"Sentiment(polarity=0.0, subjectivity=0.0)"
497,RMarshall1972, Having affordable housing doesn't 'bother or financially hurt' me.  You're grotesque.  Truly.,"Sentiment(polarity=-0.275, subjectivity=0.5)"
498,CynthiaADees2, BS,"Sentiment(polarity=0.0, subjectivity=0.0)"
499,SusanWr04361914, Dog whistle! Racist!,"Sentiment(polarity=0.0, subjectivity=0.0)"
500,tyrichmond02115, didn't our very own government fine and reprimand our racist leader and his racist daddy fred for… https://t.co/Pwy354lioG,"Sentiment(polarity=0.5983333333333334, subjectivity=0.75)"
501,sirtomothyjr," You can’t put a price tag on decency and respect. These are American traits, which you know nothin… https://t.co/2PCnOMrVDK","Sentiment(polarity=0.0, subjectivity=0.0)"
502,GroyperMagic," @TheNuclearJT A move that doesn’t pander to blacks, nice.","Sentiment(polarity=0.6, subjectivity=1.0)"
503,DARKANGELPROD, #SoylentGreen !,"Sentiment(polarity=0.0, subjectivity=0.0)"
504,LindaHa37609334, Racist going to be Racist.,"Sentiment(polarity=0.0, subjectivity=0.0)"
505,Geeewizzzzzz, RACIST!,"Sentiment(polarity=0.0, subjectivity=0.0)"
506,JeffDafler, I do not understand how people of faith can support a man who does things like this. You don't hav… https://t.co/0QagXp1dRo,"Sentiment(polarity=0.0, subjectivity=0.0)"
507,LindaKay313," Well, I don’t think this will get you any votes.  Women are stll not going to vote for you.","Sentiment(polarity=0.0, subjectivity=0.0)"
508,narutoroland, donald happy bbudapest  live americans and groot..,"Sentiment(polarity=0.4681818181818182, subjectivity=0.75)"
509,tullianum, NIMBY JESUS HAS SPOKEN!,"Sentiment(polarity=0.0, subjectivity=0.0)"
510,MattDillonNC, WTF is wrong with you?,"Sentiment(polarity=-0.5, subjectivity=0.95)"
511,MMMendoza11, What is wrong with you?,"Sentiment(polarity=-0.5, subjectivity=0.9)"
512,Tacos4tacos, Promoting racism to distract from the fact that you are a coward that will not stand up to Putin. #NobodyLikesTrump,"Sentiment(polarity=0.0, subjectivity=0.0)"
513,PistThug, Bullshit. Showing your true colors with this tweet.,"Sentiment(polarity=0.35, subjectivity=0.65)"
514,Bertina56941901, Fair Housing meeting... https://t.co/rGh6RMAWdJ,"Sentiment(polarity=0.7, subjectivity=0.9)"
515,317, Thanks Stephen Miller.,"Sentiment(polarity=0.2, subjectivity=0.2)"
516,BiggDook, A president that isn’t for all the people. So sad very sad. Basically he doesn’t want black or brown living in the suburbs.,"Sentiment(polarity=-0.4388888888888889, subjectivity=0.8111111111111112)"
517,Emilykehler3, So what you’re implying is suburbanites are better than pp in low income housing!! That’s 100% rac… https://t.co/8Tlb5caDE9,"Sentiment(polarity=0.25, subjectivity=0.4)"
518,Dex39886791, Why don't you just have a special re-release party at the White House of the movie birth of a nati… https://t.co/lxI9FVjI8A,"Sentiment(polarity=0.17857142857142858, subjectivity=0.2857142857142857)"
519,SlyStu2012, #TrumpIsARacist,"Sentiment(polarity=0.0, subjectivity=0.0)"
520,BFBJSC," Really, like really??? What in the actual fuck","Sentiment(polarity=0.0, subjectivity=0.275)"
521,squzzer, you can't undue state laws around this,"Sentiment(polarity=0.0, subjectivity=0.0)"
522,jenniferpherris, https://t.co/NCfjRnzGWr,"Sentiment(polarity=0.0, subjectivity=0.0)"
523,x_estrella1_x, https://t.co/kOek0hP9qb,"Sentiment(polarity=0.0, subjectivity=0.0)"
524,iamheathermac, https://t.co/ULjYyFczOA,"Sentiment(polarity=0.0, subjectivity=0.0)"
525,Jasta1985, https://t.co/AMMjKmnUYC,"Sentiment(polarity=0.0, subjectivity=0.0)"
526,CThrustmaster, Not your mandate.,"Sentiment(polarity=0.0, subjectivity=0.0)"
527,pinupprincess05, “I am happy to inform you that low income people will not be able to buy or rent a house in your n… https://t.co/Ebv9EOQUUd,"Sentiment(polarity=0.43333333333333335, subjectivity=0.6416666666666667)"
528,SquirmyMacWormy, This is pretty blatantly illegal.,"Sentiment(polarity=-0.125, subjectivity=0.75)"
529,joey_starfire, He basically wants class separation lol trash,"Sentiment(polarity=0.5, subjectivity=0.39999999999999997)"
530,dddddansnyder, @POTUS This is some 1960s Fred Trump racist bullshit. Letting your daddy issues shape your policy huh??,"Sentiment(polarity=0.0, subjectivity=0.0)"
531,AllenJewels2you, Thank You Sir!????????,"Sentiment(polarity=0.0, subjectivity=0.0)"
532,west_rox, Low income or high income? Are they allowed into Trump's suburbs? https://t.co/o2rOvS23Y8,"Sentiment(polarity=0.08, subjectivity=0.42000000000000004)"
533,squallluis, You talk about building a new America but all you’ve done is deconstruct heard of progress. You’re a joke.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
534,GregoryK2, https://t.co/fNUArhD0cV,"Sentiment(polarity=0.0, subjectivity=0.0)"
535,Pematthews1273," Divide and conquer, right? You assume that everyone else is a sociopath like you.","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
536,JStriker15, Jesus said feed the poor. Trump said get them the hell outta here!,"Sentiment(polarity=-0.5, subjectivity=0.6)"
537,anajohnda, So where are people supposed to live when the market dictates we can't all be bankers? That extra skin on your neck?,"Sentiment(polarity=0.06818181818181818, subjectivity=0.3)"
538,Staciewashere," So the people who work in the suburbs, the clerks, janitors, landscapers, teachers, nurses, should… https://t.co/UZcyecud9E","Sentiment(polarity=0.0, subjectivity=0.0)"
539,BobFoolery," Suburban Lifestyle Dream:  ? Riots in the cities. ? Rampant uncontrolled disease, now infecting Co… https://t.co/FjpC2hTfwX","Sentiment(polarity=0.0, subjectivity=0.0)"
540,TitusPu68028645," Translation = hey white people, I'm going to keep black and brown people from moving into your nei… https://t.co/7rE6wHvO05","Sentiment(polarity=-0.08333333333333333, subjectivity=0.21666666666666667)"
541,MaNH5934, You have done a lot of NOTHING &amp; MOST OF WHAT YOU’VE DONE is VINDICTIVE BASED. This is ONE OF THE… https://t.co/izRa98RkN0,"Sentiment(polarity=0.5, subjectivity=0.5)"
542,wordsrox, Among a long list of other reasons https://t.co/GqW69Qmx0j,"Sentiment(polarity=-0.0875, subjectivity=0.3875)"
543,oishmeloish," How will this affect Ghislaine, .?","Sentiment(polarity=0.0, subjectivity=0.0)"
544,StrasburgPotter, https://t.co/YDALqKUk4y,"Sentiment(polarity=0.0, subjectivity=0.0)"
545,EClausen, Pander much?,"Sentiment(polarity=0.2, subjectivity=0.2)"
546,kfran989, You sir are a racist with this “not In my neighborhood thought process!,"Sentiment(polarity=0.0, subjectivity=0.0)"
547,StuartDMT, Of course you'll mandate that those working service industry jobs in those areas will be paid a li… https://t.co/7RmHaJpLkj,"Sentiment(polarity=0.0, subjectivity=0.0)"
548,medic854, Fascist president setting the groundwork for his very own PIOTRKOW TRYBUNALSKI GHETTO. https://t.co/jBbV1IQT6A,"Sentiment(polarity=0.78, subjectivity=1.0)"
549,ardini_robert," Wait, aren't the #LowIncomePeople the #PeopleThatMakeUSWork. If not for the #LowIncome #Waiters,… https://t.co/Cv3ObvHHbP","Sentiment(polarity=0.0, subjectivity=0.0)"
550,OzFrom88," Your dad said something eerily similar back in the 60s trying to spin the civil rights act as ""the… https://t.co/g3FBweqynU","Sentiment(polarity=0.0, subjectivity=0.2)"
551,ASMRTexas, Karens really love this.,"Sentiment(polarity=0.5, subjectivity=0.6)"
552,CindySyrup, WHAT THE HELL DID I JUST READ???,"Sentiment(polarity=0.0, subjectivity=0.0)"
553,nut_hickory, Seriously?!?!?  You are unbelievably awful.,"Sentiment(polarity=-0.7604166666666666, subjectivity=0.8333333333333333)"
554,AngryRockhopper, And they say dems promote class warfare...,"Sentiment(polarity=0.0, subjectivity=0.0)"
555,TraceyAnnCraft, This is racist against low income families...THIS IS YOUR BASE. Reported. This is disgraceful coming from the POTUS.,"Sentiment(polarity=-0.4, subjectivity=0.65)"
556,pvb000, What fucking year is it in your head?  Holy shit.,"Sentiment(polarity=-0.4, subjectivity=0.8)"
557,baechoven6, RACIST SHITSTAIN #TRE45ON #LockHimUp,"Sentiment(polarity=0.0, subjectivity=0.0)"
558,SilvyJones, Many more suburban households will be low income now that Covid is out of control &amp; the economy is… https://t.co/4fc6O2K75i,"Sentiment(polarity=0.25, subjectivity=0.325)"
559,VinoDoctor, Racist gonna racist,"Sentiment(polarity=0.0, subjectivity=0.0)"
560,rubenquintero76," Can you kids say, “dog whistle”? https://t.co/vCPKlf0gbc","Sentiment(polarity=0.0, subjectivity=0.0)"
561,MrL0gistiX, Racism that ends w a cop's knee on a black person's neck started w many thumbs on many different scales.,"Sentiment(polarity=0.20833333333333334, subjectivity=0.5083333333333333)"
562,kfalcone2015," Wow, this tweet just encapsulated the hate and racism you foment every single day. Poor people hav… https://t.co/95908rgjtK","Sentiment(polarity=-0.29285714285714287, subjectivity=0.6785714285714286)"
563,ChancesRItsTrue, This is the biggest bag of racist bull shit I've heard.,"Sentiment(polarity=-0.2, subjectivity=0.8)"
564,finfantommy0420," If you read this statement and you think it’s racist, well then your the real racist. POTUS never… https://t.co/8uyCbGjDyk","Sentiment(polarity=0.2, subjectivity=0.30000000000000004)"
565,crowleyjoe3, Here’s Ddddddoooonnnnniiiiieeeee https://t.co/dK7yizeFSd,"Sentiment(polarity=0.0, subjectivity=0.0)"
566,brianblue472," IE., don’t worry white racists living in the burbs, I’m going to keep da blacks and Mexicans away from you!!","Sentiment(polarity=0.0, subjectivity=0.0)"
567,RacelleRosett, You are newly loathesome every day. This is not your country. It is not the country of the white d… https://t.co/Wt1yPuDwm1,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)"
568,7tzrocker," You really have No clue on being a decent, empathic human being.","Sentiment(polarity=0.12222222222222223, subjectivity=0.32222222222222224)"
569,AlanBossResists, https://t.co/0s3sBn9DlK,"Sentiment(polarity=0.0, subjectivity=0.0)"
570,IsouPamela, https://t.co/NnrjyfFIXj,"Sentiment(polarity=0.0, subjectivity=0.0)"
571,catagra44, Trump is trash. Would you want a Trump in your neighborhood? I sure wouldn’t.,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)"
572,cmac324, WTF! I'm one of the people who is going to have to retire to low income senior housing. Why wouldn… https://t.co/eqUo7Jq7YU,"Sentiment(polarity=-0.3125, subjectivity=0.65)"
573,nobodycares1976, This is one of the scariest tweets I've ever read,"Sentiment(polarity=0.0, subjectivity=0.0)"
574,FindingTruths," Now trump has exposed his true colors...  Take notice #MAGA poor people, our president does NOT gi… https://t.co/cLzs1deMcp","Sentiment(polarity=-0.025000000000000022, subjectivity=0.625)"
575,shaysharifian, Translation: minorities and poor people will be kept out of your white neighborhoods.,"Sentiment(polarity=-0.2, subjectivity=0.3)"
576,citizenChadCain, I am happy to inform all of the people...  Racist Uncle Donny is rage tweeting again.  Trump 2020:… https://t.co/c0GHUeBG8S,"Sentiment(polarity=0.8, subjectivity=1.0)"
577,BenCHamlin, I am not bothered or financially hurt by those less fortunate than me having their needs met. Anyb… https://t.co/KJyBPsOUJc,"Sentiment(polarity=0.07777777777777779, subjectivity=0.25555555555555554)"
578,OldSkull65, #GodBlessPresidentTrump,"Sentiment(polarity=0.0, subjectivity=0.0)"
579,TigerWieseJones," Remember that Bible you held up upside down? Read it.   ""A righteous man knows the rights of the p… https://t.co/LFoTPZBpS1","Sentiment(polarity=-0.15555555555555556, subjectivity=0.2888888888888889)"
580,HarleyjaneD," That you are this prejudiced against over half our country, says so much about your low, soulless… https://t.co/PopIWyAyG9","Sentiment(polarity=0.011111111111111118, subjectivity=0.22222222222222224)"
581,12Tigerlily25, #TrumpIsARacist  That’s all!,"Sentiment(polarity=0.0, subjectivity=0.0)"
582,0rcablue, hail the champion of every man. every rich man that is,"Sentiment(polarity=0.375, subjectivity=0.75)"
583,masale17, @POTUS Hey trump keep taking your tablets..,"Sentiment(polarity=0.0, subjectivity=0.0)"
584,Worksalotinmd, YOURE FIRED,"Sentiment(polarity=0.0, subjectivity=0.0)"
585,r201top," You racist fuck,piece of shit! https://t.co/zMuDzeCav2","Sentiment(polarity=-0.25, subjectivity=0.8)"
586,Terry1sm, You are trying to take Americans backwards rather the Forward by trying to segregate suburban neighborhoods.,"Sentiment(polarity=0.0, subjectivity=0.0)"
587,Parker96341027, Sounds like Donald wants to eat poor people. ??,"Sentiment(polarity=-0.1, subjectivity=0.35)"
588,BlackBe01068300, DRINK CHLORINE IT MAKE A ASSHOLES GOOD !!!!!!!!  FUCKEN DRAFT DODGER  !!!!!! https://t.co/3SJrCNnr2r,"Sentiment(polarity=1.0, subjectivity=0.6000000000000001)"
589,erika1955, Thank God,"Sentiment(polarity=0.0, subjectivity=0.0)"
590,rizzleperizzle," Yeah, fuck the poor!","Sentiment(polarity=-0.45, subjectivity=0.6)"
591,welfordtim," Apartheid, as much as it is your desired outcome, does not work, has not worked and will not work.… https://t.co/xGcr0CcZh1","Sentiment(polarity=0.2, subjectivity=0.2)"
592,jilatrix," For everyone who marched for BLM, who put a BLM sign in their yard, who re-tweeted a BLM meme, thi… https://t.co/Md8umKPfJN","Sentiment(polarity=0.0, subjectivity=0.0)"
593,soccernurd, https://t.co/yIdCPehxwo,"Sentiment(polarity=0.0, subjectivity=0.0)"
594,DorchTroy, Trump's war on the poor continues. I guess low income people are supposed to live in slums in Trump's Suburban dreams.,"Sentiment(polarity=-0.06590909090909092, subjectivity=0.35)"
595,JaceGaming, @POTUS This...this is real....wtf,"Sentiment(polarity=0.0, subjectivity=0.0)"
596,Sam_Bero48, https://t.co/YruPb8YbUB,"Sentiment(polarity=0.0, subjectivity=0.0)"
597,spied4you, Jared is going to be livid!,"Sentiment(polarity=0.0, subjectivity=0.0)"
598,PSESociety, WOWED,"Sentiment(polarity=0.0, subjectivity=0.0)"
599,Holly000," Every time I think you couldn't be more despicable, you are.","Sentiment(polarity=0.5, subjectivity=0.5)"
600,pianoman123046, You pathetic little man.,"Sentiment(polarity=-0.59375, subjectivity=0.75)"
601,Grodan71, @FoxNews Hahaha - @FoxNews saw your true colors. Finally.,"Sentiment(polarity=0.18333333333333335, subjectivity=0.6833333333333332)"
602,JenJessen1, @FoxNews THEY'VE ABANDONED A SINKING SHIP! @loveablelady61 @ReneeHoagenson @itsJeffTiedrich @TheDemocrats,"Sentiment(polarity=0.0, subjectivity=0.0)"
603,reservoir_dog_1, @FoxNews And they should thank Dear Leader for all he’s done for them.,"Sentiment(polarity=0.0, subjectivity=0.0)"
604,tew_pak, @FoxNews Is Fox abandoning your sinking ship?,"Sentiment(polarity=0.0, subjectivity=0.0)"
605,Are_you_aware_, @FoxNews I don't consent to transhumanism and nanotechnology  What the global could be working on… https://t.co/Uj142BU3nk,"Sentiment(polarity=0.0, subjectivity=0.0)"
606,82Vette," @FoxNews Don’t you have that in reverse, FOX pimped you to the American people. They wanted to get… https://t.co/SJzzdQhEZu","Sentiment(polarity=0.0, subjectivity=0.0)"
607,GigiakaD, @FoxNews You have time to watch the news yet do nothing about the pandemic?! You will NEVER be res… https://t.co/3K111Y0T2d,"Sentiment(polarity=0.0, subjectivity=0.0)"
608,bill_dansky," @FoxNews You know, Mr President, I'm sure you could get FOX to provide you with a compilation of y… https://t.co/mZddOVPe45","Sentiment(polarity=0.5, subjectivity=0.8888888888888888)"
609,Funky_ones, @FoxNews Haha you were just praising them. Now let me guess they said something against you ?,"Sentiment(polarity=0.2, subjectivity=0.3)"
610,toneesh, @FoxNews You mean even they have turned on you!? ?? shocking. Snakes gonna snake.,"Sentiment(polarity=-0.6953125, subjectivity=0.84375)"
611,RobbieMFB, @FoxNews Weird that you found time to watch TV while your “soo busy” with the Trump Virus that has… https://t.co/OJmEmmM7ns,"Sentiment(polarity=-0.2, subjectivity=0.65)"
612,Lotoministries, @FoxNews #FixNews The press has become promoters. Smart promoters knows they need to talk up the w… https://t.co/ty7m6EwjzB,"Sentiment(polarity=0.21428571428571427, subjectivity=0.6428571428571429)"
613,DMSWC," @FoxNews Waaj Waah, waah, mommy! Fox doesn't want to play with me anymore! Make them be nice! https://t.co/q29MmzekVf","Sentiment(polarity=0.75, subjectivity=1.0)"
614,harrahgirl," @FoxNews What’s the matter, Donny Baby? They’re not kissing your ass like they used to?","Sentiment(polarity=0.0, subjectivity=0.0)"
615,gene11158786, @FoxNews Same network their just as tired of your nonsense as everyone else,"Sentiment(polarity=-0.2, subjectivity=0.4125)"
616,PrenRoe, @FoxNews They can't stand you either anymore.  Isn't it funny how everyone hates you????,"Sentiment(polarity=0.25, subjectivity=1.0)"
617,DrWesPruett, @FoxNews I’m beginning think u don’t really want 2 win 2020. Because if u keep bitching whining tr… https://t.co/1MZKF0kk77,"Sentiment(polarity=0.5, subjectivity=0.30000000000000004)"
618,den44952487, @FoxNews I’m watching newsx now ????????????Trump 2020????????????,"Sentiment(polarity=0.0, subjectivity=0.0)"
619,Babytwin5912," @FoxNews Face it , you are done! It will be a pleasure voting you out of office an… https://t.co/KCXPKRrIze","Sentiment(polarity=0.0, subjectivity=0.0)"
620,BethRice," @FoxNews Maybe if you stopped wanking off, learned to pee standing up and learned to put coherent… https://t.co/T8JDhNkd4S","Sentiment(polarity=0.0, subjectivity=0.0)"
621,SylviaJBaker, @FoxNews You sure are trying hard to distract everyone from something today. What atrocity have yo… https://t.co/V5PDlHEOE9,"Sentiment(polarity=0.10416666666666666, subjectivity=0.7152777777777777)"
622,VasquezCsr6618, @FoxNews You didn’t,"Sentiment(polarity=0.0, subjectivity=0.0)"
623,Merytarimo95gm1, @FoxNews Donald Trump continue to lead our country.your a leader on behalf of God I love you my leader,"Sentiment(polarity=0.5, subjectivity=0.6)"
624,Local1285Pres, @FoxNews #TrumpThreatensAmerica #TrumpleThinSkin #TrumpIsACrybaby #AbbottFailedTexas… https://t.co/2iPKjTXyBz,"Sentiment(polarity=0.0, subjectivity=0.0)"
625,jewaller01," @FoxNews dear donald,--i heard that too,but thought it was merely-propaganda,.--lou dobbs,sean han… https://t.co/SeoSUQmBS5","Sentiment(polarity=0.0, subjectivity=0.0)"
626,MaryPer71733421, @FoxNews #TrumpKillsTexas #trumpkillsamerica,"Sentiment(polarity=0.0, subjectivity=0.0)"
627,SighUnleashed, @FoxNews Infotainment...guess you don't like how we are being entertained.  The closer they get to… https://t.co/FQGPr18ki3,"Sentiment(polarity=0.0, subjectivity=0.0)"
628,BearBoyd924, @FoxNews Ok Combover Caligula #ComboverCaligula,"Sentiment(polarity=0.5, subjectivity=0.5)"
629,ludo80x, @FoxNews Are you dissing the entire state of Texas? Smart move!,"Sentiment(polarity=0.13392857142857142, subjectivity=0.6339285714285714)"
630,DeanJos10062891," @FoxNews Liars follow liars and now trumps lies cant even be grasped by fox, now thats some fucked up shit.","Sentiment(polarity=-0.4, subjectivity=0.75)"
631,DrVogelmann, @FoxNews So says the TelevisionWatcher-in-Chief.,"Sentiment(polarity=0.0, subjectivity=0.0)"
632,stevemiller999," @FoxNews Person,  hooker, stooge, cell phone, pornhub","Sentiment(polarity=0.0, subjectivity=0.0)"
633,MyLifeToNow," @FoxNews No loyalty, huh?","Sentiment(polarity=0.0, subjectivity=0.0)"
634,scotta_phillips, @FoxNews Fox News is gone. OANN,"Sentiment(polarity=0.0, subjectivity=0.0)"
635,r_dibi, @FoxNews Poor little snowflake ??,"Sentiment(polarity=-0.29375, subjectivity=0.55)"
636,JulioZ32, @FoxNews Fox news off from 9am to 8Pm off at 11pm.,"Sentiment(polarity=0.0, subjectivity=0.0)"
637,DeeDee02674337, @FoxNews Poor poor man. Didn’t you know they have been selling their snake oil since before you bu… https://t.co/T2snCbPW7Q,"Sentiment(polarity=-0.4, subjectivity=0.6)"
638,HduntonBrooks, @FoxNews Almost finished with them.. but where will I turn to??  We need a new news outlet!!,"Sentiment(polarity=0.2130681818181818, subjectivity=0.45454545454545453)"
639,DianeBenitez, @FoxNews The people that supported you are greatly out numbered by the folks that knew you were cr… https://t.co/w9en6Xlph4,"Sentiment(polarity=0.8, subjectivity=0.75)"
640,gingerpup4, @FoxNews Trump likes to whine allot.,"Sentiment(polarity=0.0, subjectivity=0.0)"
641,JamesPerrin5, @FoxNews https://t.co/6sg5l8OSvq,"Sentiment(polarity=0.0, subjectivity=0.0)"
642,Snorlaxxx956," @FoxNews Remember to wash your hands, the way president trump washed his hands of responsibility for the covid-19 response.","Sentiment(polarity=0.0, subjectivity=0.0)"
643,ThomasKathkeen, @FoxNews True!  We just have no other choice.  They are the best of the worst.,"Sentiment(polarity=0.125, subjectivity=0.58125)"
644,rockhead21, @FoxNews Why don’t you turn the tv off and do some work for a change. #TrumpVirus #TrumpVirusDeathToll150K,"Sentiment(polarity=0.0, subjectivity=0.0)"
645,RScottWhite2, @FoxNews Paul Ryan hates Trump.  It shows in his programming for Fox.  Cavuto and Williams and oth… https://t.co/FVePqtfGyo,"Sentiment(polarity=0.0, subjectivity=0.0)"
646,JustaPe56280346, @FoxNews That's always the case with aholes.,"Sentiment(polarity=0.0, subjectivity=0.0)"
647,Reality_1," @FoxNews Let's remind them (FOX news), this November 2020.","Sentiment(polarity=0.0, subjectivity=0.0)"
648,discorabbittv, @FoxNews Imagine this being at the top of your list of complaints during a pandemic and an economi… https://t.co/aNnlULM5D1,"Sentiment(polarity=0.5, subjectivity=0.5)"
649,jeff_goulet3, @ChristinePolon1 @FoxNews Couldn't agree more.,"Sentiment(polarity=0.5, subjectivity=0.5)"
650,Roar_Of_Reason, @FoxNews Poor Don the Jon. Could it be that FOX (Maybe) is beginning to realize you are a cancer a… https://t.co/hMiGLJub4h,"Sentiment(polarity=-0.4, subjectivity=0.6)"
651,LoriAbb53761799, @WhiteHouse @FoxNews No Donald! Some people at Fox news I finally realized who you really are! But… https://t.co/ji0hxkNInx,"Sentiment(polarity=0.125, subjectivity=0.6)"
652,PageDennispage, @FoxNews So it’s not unde your spell anymore. Hmmmm.,"Sentiment(polarity=0.0, subjectivity=0.0)"
653,DianeTierno," @FoxNews Even Fox News, huh Goober! You know you’re getting to the bottom of the barrel when they don’t like you either!","Sentiment(polarity=0.0, subjectivity=0.0)"
654,manitsky, @FoxNews Soooooo - working really hard.  I think this tweet should be campaign related and the cos… https://t.co/j5tDmTUJzR,"Sentiment(polarity=-0.14583333333333334, subjectivity=0.4708333333333333)"
655,ChristineMarieB, @FoxNews May I suggest you QUIT WATCHING FOX NEWS?,"Sentiment(polarity=0.0, subjectivity=0.0)"
656,deb_byrn, @FoxNews Al Gore invented the internet. Trump created Fox News.,"Sentiment(polarity=0.0, subjectivity=0.0)"
657,bell1571," @FoxNews LOL, who was that, Dick Cheney?????  ????????????????????  10 piles of poop!!!!!","Sentiment(polarity=1.0, subjectivity=0.7)"
658,ThorhallaBjorg, @FoxNews Well that was a word salad,"Sentiment(polarity=0.0, subjectivity=0.0)"
659,bluepegredstate, @WhiteHouse @FoxNews Why?  Because they call you on your BS?,"Sentiment(polarity=0.0, subjectivity=0.0)"
660,RF71901898," @FoxNews They totally don’t forget who got us where we are. 150,000 dead Americans, over 4 million… https://t.co/K9CASjXYF8","Sentiment(polarity=-0.1, subjectivity=0.575)"
661,bushedbush," @FoxNews You have over 4.5 million cases of COVID-19.  You are touching on 155,000 dead from COVID… https://t.co/LUluCqqydU","Sentiment(polarity=0.15, subjectivity=0.45)"
662,GI_Gamer, @WhiteHouse @FoxNews https://t.co/jkqubkyV2u,"Sentiment(polarity=0.0, subjectivity=0.0)"
