,user,text,polarity
443,johnwinger17,@JoeBiden No thanks!!,"Sentiment(polarity=-0.15625, subjectivity=0.2)"
444,EuphorbiaZ,@JoeBiden Warren,"Sentiment(polarity=0.0, subjectivity=0.0)"
445,ks2020free,@JoeBiden Not from you. We have a president that cares about America,"Sentiment(polarity=0.0, subjectivity=0.0)"
446,PlainsToSee,"@JoeBiden Too late Joe, you know that as well as we all do. The only hope for the country is to install a Democrat… https://t.co/TULqKg3jzJ","Sentiment(polarity=-0.15, subjectivity=0.8)"
447,BAMAPERRY,@JoeBiden https://t.co/H0mwoPXo3k,"Sentiment(polarity=0.0, subjectivity=0.0)"
448,TsowQzLK69oEMoZ,@JoeBiden Террористы ещё болеют детской болезнью?,"Sentiment(polarity=0.0, subjectivity=0.0)"
449,NetchikNotyep,@JoeBiden What we really need is for the Ds and Rs in congress to stop having pissing contests. They should have ro… https://t.co/aEmm0QdMmm,"Sentiment(polarity=0.2, subjectivity=0.2)"
450,USAFSgt2,@JoeBiden And this President is Donald Trump.,"Sentiment(polarity=0.0, subjectivity=0.0)"
451,1RoboBen,@JoeBiden Dementia is a horrible disease.,"Sentiment(polarity=-1.0, subjectivity=1.0)"
452,JackWeb06567809,@JoeBiden Okay Dementia Joe Biden we know you are not doing your own Tweets.We need a leader who doesn't hide in hi… https://t.co/J9SJdy4DmE,"Sentiment(polarity=0.55, subjectivity=0.75)"
453,dropdimebases,@JoeBiden google: death rate by country,"Sentiment(polarity=0.0, subjectivity=0.0)"
454,GNSVRO,@JoeBiden Sleepy joe,"Sentiment(polarity=0.0, subjectivity=0.0)"
455,DimmsSuk,"@JoeBiden Day late and a dollar short there Mr. Racist, as usual you have nothing but Monday morning criticism. May… https://t.co/RtaJg9lbB8","Sentiment(polarity=-0.18333333333333335, subjectivity=0.3833333333333333)"
456,tigranmd,@JoeBiden How many countries do we know where the president is constantly reminded to do his or her job? Would you… https://t.co/jrFXDJCAkE,"Sentiment(polarity=0.25, subjectivity=0.41666666666666663)"
457,Kunkel2004K,@JoeBiden I figure that “ship has sailed”,"Sentiment(polarity=0.0, subjectivity=0.0)"
458,FosterHacksaw9,@JoeBiden You need a guide dog apparently...,"Sentiment(polarity=0.05, subjectivity=0.35)"
459,duceman65,@JoeBiden having children going back to school in a class room setting during a out of control pandemic was not the… https://t.co/CyzGiuHtn2,"Sentiment(polarity=0.0, subjectivity=0.0)"
460,RetracingRoots,@JoeBiden We need tests that are not cost prohibitive. Lots of opportunists out there in the healthcare industry. A… https://t.co/nGQ7a4tCcc,"Sentiment(polarity=0.0, subjectivity=0.0)"
461,Christy26555232,@JoeBiden Someone needs to get this virus under control in our country. The current president hasn’t done anything… https://t.co/1H0ddnAVkv,"Sentiment(polarity=0.0, subjectivity=0.4)"
462,ChauvinClay,@JoeBiden He would be able to do his job if your party wouldn’t fight him every step of the way . Also Hydroxychlor… https://t.co/7QxndOr0Zd,"Sentiment(polarity=0.5, subjectivity=0.625)"
463,BFGargoyleFeet,@JoeBiden [PEDOPHILE],"Sentiment(polarity=0.0, subjectivity=0.0)"
464,tattiana777,"@JoeBiden He won't,  that is why we need you!","Sentiment(polarity=0.0, subjectivity=0.0)"
465,Lamont2g,@JoeBiden https://t.co/Mvs2Qx1p1L,"Sentiment(polarity=0.0, subjectivity=0.0)"
466,kater78796135,@JoeBiden We will have one when you are voted into office,"Sentiment(polarity=0.0, subjectivity=0.0)"
467,lwinboston,@JoeBiden We need you Joe Biden! #JoeBidenForPresident2020 https://t.co/1ALaO2nM21,"Sentiment(polarity=0.0, subjectivity=0.0)"
468,basssavant,@JoeBiden It's fun coming to Joe's Twitter page after visiting trump's. I actually get to see complete and factual sentences.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.23333333333333336)"
469,andrewdouglass,"@JoeBiden You left off “We need this President to go to jail.” Yes, for crimes proven! Better yet we need him to go away.","Sentiment(polarity=0.125, subjectivity=0.16666666666666666)"
470,TheWee_Bee,@JoeBiden WHO in GOD'S Name is writing your TEXTS?  They are so stupid.  Really....Dude....You need a new PR person.,"Sentiment(polarity=-0.3318181818181818, subjectivity=0.7272727272727273)"
471,Greenland1256,"@JoeBiden You need an efficient dementia testing, now...","Sentiment(polarity=0.0, subjectivity=0.0)"
472,RosannaDana3,@JoeBiden We have a Great POTUS DJT who works hard everyday for real Americans!  You will never be able to fill DJT… https://t.co/fRBOHuT9aV,"Sentiment(polarity=0.21166666666666667, subjectivity=0.5633333333333332)"
473,1rikkitikitavi,@JoeBiden @ValerieJarrett I agree!,"Sentiment(polarity=0.0, subjectivity=0.0)"
474,JuniorfromHB,@JoeBiden We already have that Jill. Tell your husband to leave the basement more and he'll see that,"Sentiment(polarity=0.5, subjectivity=0.5)"
475,CharlesSawyer7,"@JoeBiden What we NEED, are numbers that are not falsely inflated. If the data is bad then we have no real idea how bad the disease is.","Sentiment(polarity=-0.3249999999999999, subjectivity=0.5583333333333333)"
476,john37736918,@JoeBiden Do you even know who you are,"Sentiment(polarity=0.0, subjectivity=0.0)"
477,bogarner9,@JoeBiden Oh look it’s joe dirt... the basement rat,"Sentiment(polarity=0.0, subjectivity=0.0)"
478,Jj12010,@JoeBiden Don’t have the corona don’t know anyone who has that Trump is doing just fine,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5)"
479,jh_parris,"@JoeBiden Who writes this stuff, so far from reality Joe.","Sentiment(polarity=0.1, subjectivity=1.0)"
480,1phyx,@JoeBiden We need a Democrat candidate that knows where they are at.,"Sentiment(polarity=0.0, subjectivity=0.0)"
481,ResistPres,"@JoeBiden Thank you Joe &amp; @potus, at the very least, the public should be able to get the same daily tests that Louie Gohmert got.","Sentiment(polarity=0.022, subjectivity=0.2673333333333333)"
482,WatchNWaitn,"@JoeBiden Trump isn't going to do anything, and then he'll lie that he did. Oh, and that he did a great job. Like t… https://t.co/qRGt15I8g5","Sentiment(polarity=0.8, subjectivity=0.75)"
483,HarifHerbie,@JoeBiden We need someone who cares about the elderly to report your family and Democrats for elder abuse already.,"Sentiment(polarity=0.0, subjectivity=0.0)"
484,realMylesLong,@JoeBiden https://t.co/4BarnOOqzo,"Sentiment(polarity=0.0, subjectivity=0.0)"
485,Michael00356343,@JoeBiden Shut  it....  Trump 2020,"Sentiment(polarity=0.0, subjectivity=0.0)"
486,tonyperil,@JoeBiden Cruz needs to take a course in ethics. He’s helping Trump jr.  on a twitter matter and votes no to help t… https://t.co/Jsuwwrws5l,"Sentiment(polarity=0.0, subjectivity=0.0)"
487,drump_donny,"@JoeBiden No, sir. We need YOU to do his job.","Sentiment(polarity=0.0, subjectivity=0.0)"
488,77lighthouse77,@JoeBiden Biden thinks he is President material https://t.co/7hyYPcXfmG,"Sentiment(polarity=0.0, subjectivity=0.0)"
489,emmasno61675626,@JoeBiden Or just Hydroxycholoroquine,"Sentiment(polarity=0.0, subjectivity=0.0)"
490,MamaD67801293,"@JoeBiden As one of those healthcare workers, I thank you for giving us hope.   Take the reigns &amp; lead us forward.… https://t.co/inpDoEjJ0a","Sentiment(polarity=0.0, subjectivity=0.0)"
491,DimitriosK14,@JoeBiden Do you know your name banana?,"Sentiment(polarity=0.0, subjectivity=0.0)"
492,Tim51498058,"@JoeBiden We need politicians and ""journalists"" to stop using fear as a tool of manipulation. We need the American… https://t.co/4MGc5npNG1","Sentiment(polarity=0.0, subjectivity=0.0)"
493,mdugan1978,@JoeBiden We need Universal Health Care,"Sentiment(polarity=0.0, subjectivity=0.0)"
494,MoreMAGALessDum,"@JoeBiden Hey Sleepy, what does PPE stand for? Go ask the staffer that wrote this tweet. #DementiaJoe","Sentiment(polarity=0.0, subjectivity=0.0)"
495,EvanBoyce77,@JoeBiden https://t.co/izqdJbZQxf,"Sentiment(polarity=0.0, subjectivity=0.0)"
496,CatDancerInSky1,@JoeBiden he won't do it-- he doesn't care &amp; never will,"Sentiment(polarity=0.0, subjectivity=0.0)"
497,jjt1142,@JoeBiden Actually Biden would overtake Bush as the dumbest president ever if elected.,"Sentiment(polarity=0.0, subjectivity=0.1)"
498,Jpdawe7,@JoeBiden https://t.co/nARr6tZjru,"Sentiment(polarity=0.0, subjectivity=0.0)"
499,EvanBoyce77,@JoeBiden https://t.co/sxMv4T2v6J,"Sentiment(polarity=0.0, subjectivity=0.0)"
500,YaDonkey,@JoeBiden ... and maybe some kind of healthcare that covers everybody... not that the thought of millions in hospit… https://t.co/v3QKITvlPJ,"Sentiment(polarity=0.6, subjectivity=0.9)"
501,Stijl,@JoeBiden Trump is a failure.,"Sentiment(polarity=-0.31666666666666665, subjectivity=0.3)"
502,JerriHafizi,@JoeBiden He’s incapable.  It will be up to you.  Choose your VP wisely.,"Sentiment(polarity=0.7, subjectivity=0.9)"
503,DocZonefield,@JoeBiden Thank you Joe for endorsing President Trump as he’s taking care of our country’s needs.,"Sentiment(polarity=0.0, subjectivity=0.0)"
504,Jpdawe7,@JoeBiden https://t.co/9C8gEdA9it,"Sentiment(polarity=0.0, subjectivity=0.0)"
505,teapot_green,@JoeBiden 55 million COVID test  One of the lowest death rates in the world  3 vaccines in stage 3 trials  Over 10… https://t.co/sQPQYhLHNb,"Sentiment(polarity=0.0, subjectivity=0.0)"
506,Grant_marsrover,"@JoeBiden We need M4A. The real one. Not the half arsed ""Medicare for all who want it"". Single payer Medicare for everything and everyone.","Sentiment(polarity=-0.01269841269841269, subjectivity=0.22698412698412698)"
507,PaulGavigan4,@JoeBiden Joe said he never took a test,"Sentiment(polarity=0.0, subjectivity=0.0)"
508,bigdwin2020,"@JoeBiden Yes, that's all true, but what we desperately need and want is for YOU to be our President.","Sentiment(polarity=-0.125, subjectivity=0.825)"
509,slt521thof,@JoeBiden We have a President that IS doing his job. We have plenty of testing and plenty of PPE. You on the other… https://t.co/JRf2xjOPZs,"Sentiment(polarity=0.0, subjectivity=0.0)"
510,SaveUSNow2020,"@JoeBiden Mr future president please do not call trump "" president"" he's not, he's only a leader of a bunch of ignorant and racist people.","Sentiment(polarity=0.0, subjectivity=0.5625)"
511,CorioTim,@JoeBiden #DemPartyOfSlavery #DemPartyOfTheConfederacy #DemPartyOfTheKkk #DemPartyOfJimCrow #DemPartyOfTheNoose… https://t.co/75Sf0l989C,"Sentiment(polarity=0.0, subjectivity=0.0)"
512,Jpdawe7,@JoeBiden https://t.co/2edxCcFvL8,"Sentiment(polarity=0.0, subjectivity=0.0)"
513,Winterconnects,@JoeBiden We need you to be leading a private industry national response to this nightmare. The businesses that rec… https://t.co/3MpxhQwPE3,"Sentiment(polarity=0.0, subjectivity=0.375)"
514,EvanBoyce77,@JoeBiden https://t.co/KowKebHF4n,"Sentiment(polarity=0.0, subjectivity=0.0)"
515,LoveAndDynamite,@JoeBiden Yeah well good luck with that.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
516,EiluapZoc,@JoeBiden If Biden gets becomes POTUS the far left will have him out of office for mental incompetence..and then hi… https://t.co/T5ajR16ADq,"Sentiment(polarity=0.0, subjectivity=0.39999999999999997)"
517,Sonya_61995,@JoeBiden We need you!!!!!!!!!!,"Sentiment(polarity=0.0, subjectivity=0.0)"
518,stevehartzler,@JoeBiden You would absolutely do a better job than Trump on this and every other issue.,"Sentiment(polarity=0.1875, subjectivity=0.4375)"
519,HatesHarry,@JoeBiden We need Joe  #Biden2020Landslide,"Sentiment(polarity=0.0, subjectivity=0.0)"
520,skierdude60,@JoeBiden We need you to go away.,"Sentiment(polarity=0.0, subjectivity=0.0)"
521,rgv341,@JoeBiden So Mr. Biden you are out in public campaigning without any personal protection or regards for all those a… https://t.co/yDnLPgEdzZ,"Sentiment(polarity=0.0, subjectivity=0.18333333333333332)"
522,fortruthssake2,@JoeBiden He’s doing the job Putin put him in office for. https://t.co/vsx2zI4vOt,"Sentiment(polarity=0.0, subjectivity=0.0)"
523,CorioTim,@JoeBiden The Democrats comprehensive plan to control Covid involves murdering the elderly by forcing people with a… https://t.co/Zs3m3uVq8P,"Sentiment(polarity=0.0, subjectivity=0.0)"
524,charmmom,@JoeBiden He will never be presidential. He will never do his job. #Biden2020Landslide,"Sentiment(polarity=0.0, subjectivity=0.0)"
525,merlin07,@JoeBiden We need you.,"Sentiment(polarity=0.0, subjectivity=0.0)"
526,JacobWillard19,@JoeBiden Most of us don’t trust you enough to trace us. Not going to happen.,"Sentiment(polarity=0.25, subjectivity=0.5)"
527,JoeBlow59824862,@JoeBiden https://t.co/PmbJOeng0N,"Sentiment(polarity=0.0, subjectivity=0.0)"
528,jmebersole88,"@JoeBiden He is doing his job creepy pedo Joe , why after 5 decades in office u finally wanting to do something ?? 🤔🤔🤔🤔","Sentiment(polarity=-0.25, subjectivity=1.0)"
529,JoeBlow59824862,@JoeBiden Trace this...asswipe,"Sentiment(polarity=0.0, subjectivity=0.0)"
530,woodChiptheDems,@JoeBiden We need you to stop inappropriately touching women and children. 40+ years in govt and you're finally goi… https://t.co/v4elPlLLmm,"Sentiment(polarity=0.25, subjectivity=0.75)"
531,sensible_jeffer,@JoeBiden Who is writing yr tweets? It clearly isn't you,"Sentiment(polarity=0.09999999999999999, subjectivity=0.3833333333333333)"
532,PJMoore1958,@JoeBiden https://t.co/CGq3UCi3Tf,"Sentiment(polarity=0.0, subjectivity=0.0)"
533,Captbobdad,"@JoeBiden He is, and will for 4 more years","Sentiment(polarity=0.5, subjectivity=0.5)"
534,MLB30,@JoeBiden I’m voting for Joe! We need you sir ....desperately!,"Sentiment(polarity=0.0, subjectivity=0.0)"
535,billg5050,@JoeBiden Come out from the basement Sleepy Joe and open your eyes.  @TeamTrump already going that while you're sti… https://t.co/ZABejlhLLP,"Sentiment(polarity=0.0, subjectivity=0.5)"
536,SandraWors3,"@JoeBiden PPE IS CONTAMINATED, USELESS SH*T. FAUCI THE FRAUD RAN EXACTLY THE SAME LIE IN THE 80S WITH HIV UNTIL PRI… https://t.co/YRVKrQLZVo","Sentiment(polarity=-0.08333333333333333, subjectivity=0.19166666666666665)"
537,BohemianMainah,@JoeBiden https://t.co/gloyCboT2N,"Sentiment(polarity=0.0, subjectivity=0.0)"
538,JohnDellAnno3,"@JoeBiden @JoeBiden I am an average working man who pays attention, and I am worried for my 9 yr. old daughters fut… https://t.co/19osZS7puH","Sentiment(polarity=-0.024999999999999994, subjectivity=0.3)"
539,Kylelafrance1,@JoeBiden NO JOE BIDEN!,"Sentiment(polarity=0.0, subjectivity=0.0)"
540,SMrright,@JoeBiden You're going to waste more money and time this year if you doubt me because it's not your destiny to be a president #Godcomment...,"Sentiment(polarity=0.15, subjectivity=0.25)"
541,jonoriver51,@JoeBiden Absolutely 👏 and do ones oath for “All of the people”,"Sentiment(polarity=0.2, subjectivity=0.9)"
542,Adam_Matherz,@JoeBiden Hiden Biden. https://t.co/EuxYanxVqr,"Sentiment(polarity=0.0, subjectivity=0.0)"
543,VictorBalaur1,@JoeBiden You need coordinated and effective mental health treatment.  Get some help Joey.,"Sentiment(polarity=0.25, subjectivity=0.5)"
544,ImNotFonzie,@JoeBiden Tracing?  No thank you.  Maybe put a trace on your son first.,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)"
545,jerry1newm,@JoeBiden We need candidates that are cognitive to rerun. Joe for your own benefit drop out now,"Sentiment(polarity=0.6, subjectivity=1.0)"
546,lyinlefties,"@JoeBiden This president has done his job. The last president depleted our resources, during the h1n1 pandemic, and… https://t.co/n0x8TSqKP0","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
547,clcgcolon,@JoeBiden Retire,"Sentiment(polarity=0.0, subjectivity=0.0)"
548,SusanHo96190170,@JoeBiden We need Medicare for all!,"Sentiment(polarity=0.0, subjectivity=0.0)"
549,PjcSadie,@JoeBiden We need to toss the #gop into dustbin of history with the confederates and nazis #VoteBlueToEndThisNightmare,"Sentiment(polarity=0.0, subjectivity=0.0)"
550,GmanisQ,@JoeBiden We ALSO need to infuse massive funding to strengthen Americas public health system....it's been starved f… https://t.co/mqGdE6WW8Y,"Sentiment(polarity=0.0, subjectivity=0.5333333333333333)"
551,sewsharit,@JoeBiden Morning Mr. Joe  I must disagree on one point. The fool in the WH has never done 'his' job. We don't expe… https://t.co/TlQMrBnOdP,"Sentiment(polarity=0.0, subjectivity=0.0)"
552,ClintP22831309,@JoeBiden We have national testing. Every order our hospital has made for ppe has been filled. Get out the basement Joe.,"Sentiment(polarity=0.4, subjectivity=0.9)"
553,drbeba82,@JoeBiden What we need is a coherent foreign policy.  Trump is pulling us out of NATO at the behest of Putin.   Ple… https://t.co/lSTxt1fVgy,"Sentiment(polarity=0.1875, subjectivity=0.4125)"
554,grdina_scott,@JoeBiden @ValerieJarrett Dementia @JoeBiden doesn't even know where he is half the time. #BlueMAGA is hilarious… https://t.co/VNlVHcJcLt,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.16666666666666666)"
555,Justin93448394,@JoeBiden Trump will continue to do his job for the next 4 years! I can’t wait! #Trump2020LandslideVictory #Trump2020,"Sentiment(polarity=0.0, subjectivity=0.0)"
556,Steely_Dann1,@JoeBiden What’s your plan?,"Sentiment(polarity=0.0, subjectivity=0.0)"
557,AriLykaios,@JoeBiden Like the H1N1 Pandemic Plan?,"Sentiment(polarity=0.0, subjectivity=0.0)"
558,Emanuel57438893,@JoeBiden https://t.co/04qzJL9yt1,"Sentiment(polarity=0.0, subjectivity=0.0)"
559,CrewsonRanda,@JoeBiden Wait .... are you still on this?  Our testing is fine.  I'm out in the boonies and have been tested twice… https://t.co/mvRwTZjNHm,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5)"
560,Brandielpie,@JoeBiden Apparently Trump is too busy discussing Nuclear Proliferation with Putin and doesn't have time for the co… https://t.co/VmFS6IPEuJ,"Sentiment(polarity=0.07500000000000001, subjectivity=0.32499999999999996)"
561,pietpietblm1,@JoeBiden Obviously!,"Sentiment(polarity=0.0, subjectivity=0.5)"
562,Emanuel57438893,@JoeBiden https://t.co/FQ7nPUiuMd,"Sentiment(polarity=0.0, subjectivity=0.0)"
563,PopVultureCult1,@JoeBiden Ok. What's your plan then?,"Sentiment(polarity=0.0, subjectivity=0.0)"
564,FunTimeFred1,@JoeBiden We need someone who knows where they are when they get up to speak.,"Sentiment(polarity=0.0, subjectivity=0.0)"
565,BruceMi10213461,"@JoeBiden Write your own!! Testing must be done to everyone at the same time in order to get this under control , common sense!","Sentiment(polarity=0.1875, subjectivity=0.5416666666666666)"
566,thhmblhstlshw,@JoeBiden Shots fired!,"Sentiment(polarity=0.0, subjectivity=0.0)"
567,sallyshafer6,@JoeBiden We need Medicare for all!!!!!,"Sentiment(polarity=0.0, subjectivity=0.0)"
568,Gabber333333333,@JoeBiden https://t.co/KtVL4KhvM0,"Sentiment(polarity=0.0, subjectivity=0.0)"
569,JimBeach526,"@JoeBiden Wah, Wah, Wah. He’s doing his job and your daily dribble stating otherwise is just childish. You’re feebl… https://t.co/viVfraeOEs","Sentiment(polarity=-0.1, subjectivity=0.4)"
570,duanedad,@JoeBiden We need our legislature to do it's job because clearly the president won't do his,"Sentiment(polarity=0.09999999999999999, subjectivity=0.3833333333333333)"
571,Trump73373360,@JoeBiden https://t.co/XatV2m6FJx,"Sentiment(polarity=0.0, subjectivity=0.0)"
572,dongallo220,@JoeBiden defit #TrumpVirus,"Sentiment(polarity=0.0, subjectivity=0.0)"
573,ktmlawrence,@JoeBiden Eat it!! Stop using fear to try and get elected you feckless old man!!!!,"Sentiment(polarity=0.244140625, subjectivity=0.2)"
574,MichaelMacguir2,@JoeBiden https://t.co/AOVcdKcrrX,"Sentiment(polarity=0.0, subjectivity=0.0)"
575,stevenmoro3,"@JoeBiden Joe, stop being the mouth piece, of the leftist socialist reform. I know deep down, you don’t truly belie… https://t.co/ygLOaxRgq7","Sentiment(polarity=-0.06851851851851852, subjectivity=0.42962962962962964)"
576,Th3Dutchman1,"@JoeBiden He has never done a day of honest work in his life, not gonna start now","Sentiment(polarity=0.6, subjectivity=0.9)"
577,macedonianking3,@JoeBiden Our testing program is pretty decent tho,"Sentiment(polarity=0.20833333333333331, subjectivity=0.8333333333333333)"
578,FrankMessala,"@JoeBiden And lastly, we need you back in the basement.","Sentiment(polarity=0.0, subjectivity=0.03333333333333333)"
579,Aprapl,@JoeBiden We deserve to know which government officials and members of the media that have taken hydroxychloroquine. #MakeHCQOTC,"Sentiment(polarity=0.0, subjectivity=0.0)"
580,frankv130,@JoeBiden Ridin with Biden! You tell em Joe!,"Sentiment(polarity=0.0, subjectivity=0.0)"
581,democrats_my,"@JoeBiden What you really ment - We need an effective, coordinated nationwide population tracing program. We need a… https://t.co/gmHyI0UNKP","Sentiment(polarity=0.4, subjectivity=0.5)"
582,yoPULPFRICTION,"@JoeBiden Just say he can’t do it, but you could. And will.","Sentiment(polarity=0.0, subjectivity=0.0)"
583,pricklefingers,"@JoeBiden Blah, blah, blah. You send this same tweet once a week, your caregivers  need to  take your phone away.","Sentiment(polarity=0.0, subjectivity=0.125)"
584,darbonnjohn,@JoeBiden Medicare for All? We need to get rid of the DNC.,"Sentiment(polarity=0.0, subjectivity=0.0)"
585,RyanSchock1,@JoeBiden we need you to shut your mouth,"Sentiment(polarity=0.0, subjectivity=0.0)"
586,shapes221,@JoeBiden Trump2020,"Sentiment(polarity=0.0, subjectivity=0.0)"
587,rigby_sboss,"@JoeBiden @mydoggyruss Yeah, good luck with that! https://t.co/4RRxxq8uu1","Sentiment(polarity=0.875, subjectivity=0.6000000000000001)"
588,KingVolfe,@JoeBiden I fuckin' hate Joe Biden  #nevertRUMP,"Sentiment(polarity=-0.8, subjectivity=0.9)"
589,Lisabcajunlady,@JoeBiden Which he is doing  While DEMOCRATS align with anarchist.  This new radical progressive left socialist par… https://t.co/bFwfEFdpOY,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)"
590,2_manycats,"@JoeBiden Not going to happen, we need you Joe.","Sentiment(polarity=0.0, subjectivity=0.0)"
591,mktsutherland,"@JoeBiden Please , can’t we start a shadow government, January is such a long time away","Sentiment(polarity=-0.025, subjectivity=0.45)"
592,dixiefortrump,@JoeBiden The liberal left is all about control!! They want a big nanny state government because they have to contr… https://t.co/os0SuFpS7r,"Sentiment(polarity=0.0, subjectivity=0.05)"
593,LisaRitz4trump,@JoeBiden I am scared to death if you get elected who’s going to protect me and my grandchildren and my children do… https://t.co/7WPTPIyLqw,"Sentiment(polarity=0.0, subjectivity=0.0)"
594,TrevorQMorgan,@JoeBiden How about a debate ?,"Sentiment(polarity=0.0, subjectivity=0.0)"
595,TheStallion6464,@JoeBiden We need Joe Biden to put his binky back in his mouth.,"Sentiment(polarity=0.0, subjectivity=0.0)"
596,Colleen20869104,@JoeBiden https://t.co/TDawwU4HAj,"Sentiment(polarity=0.0, subjectivity=0.0)"
597,GRAILKNIGHT1,"@JoeBiden Hang on a minute, isn't the country that takes on the mantle of The Leader Of The Free World, logically b… https://t.co/k9pWiB9ueG","Sentiment(polarity=0.325, subjectivity=0.525)"
598,manalbattal,"@JoeBiden Election campaigns begin with criticizing the opponent and the status quo , It seems to me that you need… https://t.co/Pi3xyVfche","Sentiment(polarity=0.0, subjectivity=0.0)"
599,TheRealStuart_,"@JoeBiden We need a mandatory Nationwide #ShelterInPlace for 6 weeks. Then, we can ALL get back to school, work, an… https://t.co/FkGtvLAmDU","Sentiment(polarity=0.0, subjectivity=0.0)"
600,Stephen93221074,@JoeBiden Neither presidential candidate is capable of doing this job. Let’s reject this insane choice provided by… https://t.co/jz3R1LRQ0F,"Sentiment(polarity=-0.4, subjectivity=0.7)"
601,Colleen20869104,@JoeBiden https://t.co/gKX0b0WG7B,"Sentiment(polarity=0.0, subjectivity=0.0)"
602,wdking,"@JoeBiden Under @realDonaldTrump inept leadership Americans are not unable to travel to Canada, Mexico, Europe and many other places.","Sentiment(polarity=0.20833333333333334, subjectivity=0.4583333333333333)"
603,KPGreenwald,@JoeBiden We needed this months ago. When can you start?,"Sentiment(polarity=0.0, subjectivity=0.0)"
604,Sonya007,@JoeBiden This president hasn't done his job in 3-1/2 years. We need a president who will. #GoJoe2020,"Sentiment(polarity=0.0, subjectivity=0.0)"
605,LisaRitz4trump,@JoeBiden The president is doing his job and he’s not even getting paid to do it,"Sentiment(polarity=0.0, subjectivity=0.0)"
606,catsden234,@JoeBiden But sadly we all know he won't,"Sentiment(polarity=-0.5, subjectivity=1.0)"
607,douglaskarr,@JoeBiden Oops. https://t.co/vN8wguZKtC,"Sentiment(polarity=0.0, subjectivity=0.0)"
608,TylerDi22391128,@JoeBiden Get off the twitter  and try to campaign  for someone else,"Sentiment(polarity=0.0, subjectivity=0.0)"
609,jackie13911256,@JoeBiden https://t.co/Siosc7w7Eo,"Sentiment(polarity=0.0, subjectivity=0.0)"
610,phd95,"@JoeBiden We need to know what your fascination is with young females and your need to molest them in public.  ""I'm… https://t.co/oJaX7QFxYf","Sentiment(polarity=0.05, subjectivity=0.23333333333333334)"
611,LaveneSweat,"@JoeBiden we need you to stay in your basement aand let a real president do is job, donald trump is awesome","Sentiment(polarity=0.6, subjectivity=0.65)"
612,Robb90997767,@JoeBiden Sick of the lot of them https://t.co/iuU0jOO0oF,"Sentiment(polarity=-0.7142857142857143, subjectivity=0.8571428571428571)"
613,thefirstfuture,@JoeBiden https://t.co/ePxigjSNL0,"Sentiment(polarity=0.0, subjectivity=0.0)"
614,RDMC69000832,"@JoeBiden Mr. Biden, if you want to win this election, please don't choose Kamala Harris as your running mate. Whoe… https://t.co/1GYWq46KJe","Sentiment(polarity=0.8, subjectivity=0.4)"
615,drpot89,"@JoeBiden Here's your ""comprehensive plan"":   #MedicareForAll","Sentiment(polarity=0.0, subjectivity=0.0)"
616,007willreturn,@JoeBiden We also need citizens who are going to cooperate with science and guidelines - there’s no way we will get… https://t.co/boTiACqA1w,"Sentiment(polarity=0.0, subjectivity=0.0)"
617,mia2san,@JoeBiden You are the man who understands science and not spreading propaganda unlike #TraitorTrump. We need you… https://t.co/z0xANLNAvf,"Sentiment(polarity=-0.1, subjectivity=0.1)"
618,lindastroope,@JoeBiden We need all those things. But most of all we need him GONE!,"Sentiment(polarity=0.625, subjectivity=0.5)"
619,Patrick41994305,@JoeBiden https://t.co/35t09SEYYp,"Sentiment(polarity=0.0, subjectivity=0.0)"
620,Robb90997767,@JoeBiden Robb all of u https://t.co/MmgWWnfrjU,"Sentiment(polarity=0.0, subjectivity=0.0)"
621,clueless1deux,@JoeBiden https://t.co/GNhA2DaaIu,"Sentiment(polarity=0.0, subjectivity=0.0)"
622,Thank_You_45,@JoeBiden You GUTTED the system sir!!  YOU! You were in charge of the H1N1 response and you left the system empty!… https://t.co/TqAa4VdZhB,"Sentiment(polarity=0.0, subjectivity=0.0)"
623,MrBillSD,"@JoeBiden If you're saying that, what you're really saying is #Fauci, the #CDC and #FDA are NOT DOING their job 🤔 https://t.co/j4N1b6CG1V","Sentiment(polarity=0.2, subjectivity=0.2)"
624,DobbyMiller2020,"@JoeBiden It's called Herd Immunity!   Testing is a waste of time and resources, and overwhelms healthcare workers!… https://t.co/jjIkbM6V3o","Sentiment(polarity=-0.2, subjectivity=0.0)"
625,Robb90997767,@JoeBiden https://t.co/v2BTtDTp0J,"Sentiment(polarity=0.0, subjectivity=0.0)"
626,RealTruth05,"@JoeBiden common sense to most...thank you, Joe! Unfortunately, the GOP has a real lack of common sense which is wh… https://t.co/JttgVVjc6X","Sentiment(polarity=-0.24375000000000002, subjectivity=0.575)"
627,hijv,@JoeBiden We need protestors to stop spreading spreading the virus and rioting!,"Sentiment(polarity=0.0, subjectivity=0.0)"
628,thefirstfuture,@JoeBiden TRUMP 2020 https://t.co/wQqDsOvWer,"Sentiment(polarity=0.0, subjectivity=0.0)"
